# LOVE_NUMBERS  Format of 2005.01.10
# degree h                 l                 k
#
     0  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
   241 -0.3663299103E+01  0.3781640469E-02 -0.6715220049E-02
   242 -0.3668140651E+01  0.3767081216E-02 -0.6694590762E-02
   243 -0.3672980417E+01  0.3752666299E-02 -0.6674159952E-02
   244 -0.3677818461E+01  0.3738394413E-02 -0.6653925199E-02
   245 -0.3682654761E+01  0.3724263943E-02 -0.6633883871E-02
   246 -0.3687489030E+01  0.3710271978E-02 -0.6614032563E-02
   247 -0.3692321405E+01  0.3696417705E-02 -0.6594369232E-02
   248 -0.3697151858E+01  0.3682699513E-02 -0.6574891356E-02
   249 -0.3701980361E+01  0.3669115830E-02 -0.6555596461E-02
   250 -0.3706806936E+01  0.3655665322E-02 -0.6536482218E-02
   251 -0.3711631455E+01  0.3642345998E-02 -0.6517546015E-02
   252 -0.3716453939E+01  0.3629156559E-02 -0.6498785614E-02
   253 -0.3721274358E+01  0.3616095501E-02 -0.6480198683E-02
   254 -0.3726092689E+01  0.3603161412E-02 -0.6461782835E-02
   255 -0.3730908892E+01  0.3590352763E-02 -0.6443535971E-02
   256 -0.3735722950E+01  0.3577668129E-02 -0.6425455846E-02
   257 -0.3740534821E+01  0.3565106108E-02 -0.6407540263E-02
   258 -0.3745344490E+01  0.3552665333E-02 -0.6389786969E-02
   259 -0.3750151923E+01  0.3540344361E-02 -0.6372194033E-02
   260 -0.3754957088E+01  0.3528141865E-02 -0.6354759310E-02
   261 -0.3759759956E+01  0.3516056491E-02 -0.6337480778E-02
   262 -0.3764560505E+01  0.3504086957E-02 -0.6320356275E-02
   263 -0.3769358699E+01  0.3492231903E-02 -0.6303384010E-02
   264 -0.3774154515E+01  0.3480490047E-02 -0.6286561980E-02
   265 -0.3778947920E+01  0.3468860115E-02 -0.6269888285E-02
   266 -0.3783738888E+01  0.3457340896E-02 -0.6253360871E-02
   267 -0.3788527389E+01  0.3445931088E-02 -0.6236978078E-02
   268 -0.3793313390E+01  0.3434629499E-02 -0.6220737994E-02
   269 -0.3798096866E+01  0.3423434902E-02 -0.6204638851E-02
   270 -0.3802877791E+01  0.3412346138E-02 -0.6188678733E-02
   271 -0.3807656137E+01  0.3401361981E-02 -0.6172856062E-02
   272 -0.3812431870E+01  0.3390481295E-02 -0.6157169047E-02
   273 -0.3817204958E+01  0.3379702926E-02 -0.6141616004E-02
   274 -0.3821975383E+01  0.3369025761E-02 -0.6126195168E-02
   275 -0.3826743110E+01  0.3358448646E-02 -0.6110905001E-02
   276 -0.3831508110E+01  0.3347970491E-02 -0.6095743854E-02
   277 -0.3836271873E+01  0.3337596579E-02 -0.6080714363E-02
   278 -0.3841032150E+01  0.3327316457E-02 -0.6065808661E-02
   279 -0.3845788986E+01  0.3317129435E-02 -0.6051025499E-02
   280 -0.3850542997E+01  0.3307037131E-02 -0.6036365150E-02
   281 -0.3855294157E+01  0.3297038508E-02 -0.6021826113E-02
   282 -0.3860042438E+01  0.3287132563E-02 -0.6007406839E-02
   283 -0.3864787807E+01  0.3277318267E-02 -0.5993105878E-02
   284 -0.3869530239E+01  0.3267594628E-02 -0.5978921847E-02
   285 -0.3874269702E+01  0.3257960660E-02 -0.5964853301E-02
   286 -0.3879006179E+01  0.3248415396E-02 -0.5950898825E-02
   287 -0.3883739635E+01  0.3238957864E-02 -0.5937057006E-02
   288 -0.3888470049E+01  0.3229587109E-02 -0.5923326579E-02
   289 -0.3893197379E+01  0.3220302211E-02 -0.5909706151E-02
   290 -0.3897921616E+01  0.3211102237E-02 -0.5896194416E-02
   291 -0.3902642720E+01  0.3201986266E-02 -0.5882789995E-02
   292 -0.3907360668E+01  0.3192953396E-02 -0.5869491718E-02
   293 -0.3912075438E+01  0.3184002722E-02 -0.5856298304E-02
   294 -0.3916786993E+01  0.3175133373E-02 -0.5843208448E-02
   295 -0.3921495314E+01  0.3166344474E-02 -0.5830220904E-02
   296 -0.3926200363E+01  0.3157635149E-02 -0.5817334546E-02
   297 -0.3930902125E+01  0.3149004554E-02 -0.5804548161E-02
   298 -0.3935600573E+01  0.3140451838E-02 -0.5791860577E-02
   299 -0.3940295676E+01  0.3131976215E-02 -0.5779270522E-02
   300 -0.3944987404E+01  0.3123576818E-02 -0.5766776986E-02
   301 -0.3949675741E+01  0.3115252838E-02 -0.5754378816E-02
   302 -0.3954360653E+01  0.3107003475E-02 -0.5742074899E-02
   303 -0.3959042119E+01  0.3098827965E-02 -0.5729864025E-02
   304 -0.3963720107E+01  0.3090725489E-02 -0.5717745257E-02
   305 -0.3968394592E+01  0.3082695280E-02 -0.5705717481E-02
   306 -0.3973065547E+01  0.3074736571E-02 -0.5693779662E-02
   307 -0.3977732958E+01  0.3066848621E-02 -0.5681930652E-02
   308 -0.3982396782E+01  0.3059030663E-02 -0.5670169557E-02
   309 -0.3987056997E+01  0.3051281965E-02 -0.5658495321E-02
   310 -0.3991713583E+01  0.3043601784E-02 -0.5646906981E-02
   311 -0.3996366510E+01  0.3035989428E-02 -0.5635403426E-02
   312 -0.4001015766E+01  0.3028444140E-02 -0.5623983856E-02
   313 -0.4005661299E+01  0.3020965248E-02 -0.5612647214E-02
   314 -0.4010303104E+01  0.3013552026E-02 -0.5601392619E-02
   315 -0.4014941156E+01  0.3006203809E-02 -0.5590219039E-02
   316 -0.4019575415E+01  0.2998919902E-02 -0.5579125640E-02
   317 -0.4024205867E+01  0.2991699624E-02 -0.5568111507E-02
   318 -0.4028832484E+01  0.2984542312E-02 -0.5557175755E-02
   319 -0.4033455241E+01  0.2977447321E-02 -0.5546317422E-02
   320 -0.4038074113E+01  0.2970413976E-02 -0.5535535712E-02
   321 -0.4042689078E+01  0.2963441640E-02 -0.5524829768E-02
   322 -0.4047300107E+01  0.2956529675E-02 -0.5514198739E-02
   323 -0.4051907177E+01  0.2949677460E-02 -0.5503641734E-02
   324 -0.4056510264E+01  0.2942884356E-02 -0.5493157962E-02
   325 -0.4061109341E+01  0.2936149755E-02 -0.5482746632E-02
   326 -0.4065704388E+01  0.2929473038E-02 -0.5472406939E-02
   327 -0.4070295381E+01  0.2922853615E-02 -0.5462138054E-02
   328 -0.4074882284E+01  0.2916290885E-02 -0.5451939170E-02
   329 -0.4079465087E+01  0.2909784249E-02 -0.5441809594E-02
   330 -0.4084043760E+01  0.2903333130E-02 -0.5431748532E-02
   331 -0.4088618279E+01  0.2896936957E-02 -0.5421755212E-02
   332 -0.4093188619E+01  0.2890595151E-02 -0.5411828857E-02
   333 -0.4097757745E+01  0.2884317398E-02 -0.5401975569E-02
   334 -0.4102319954E+01  0.2878083583E-02 -0.5392181719E-02
   335 -0.4106878131E+01  0.2871903238E-02 -0.5382453176E-02
   336 -0.4111431810E+01  0.2865774239E-02 -0.5372788210E-02
   337 -0.4115981211E+01  0.2859696893E-02 -0.5363186748E-02
   338 -0.4120526303E+01  0.2853670681E-02 -0.5353648059E-02
   339 -0.4125067085E+01  0.2847695064E-02 -0.5344171504E-02
   340 -0.4129603517E+01  0.2841769549E-02 -0.5334756310E-02
   341 -0.4134135580E+01  0.2835893595E-02 -0.5325401926E-02
   342 -0.4138663260E+01  0.2830066694E-02 -0.5316107680E-02
   343 -0.4143186527E+01  0.2824288349E-02 -0.5306872920E-02
   344 -0.4147705363E+01  0.2818558071E-02 -0.5297696936E-02
   345 -0.4152219750E+01  0.2812875349E-02 -0.5288579215E-02
   346 -0.4156729818E+01  0.2807240245E-02 -0.5279519432E-02
   347 -0.4161235270E+01  0.2801651316E-02 -0.5270516389E-02
   348 -0.4165736154E+01  0.2796108386E-02 -0.5261569543E-02
   349 -0.4170232508E+01  0.2790611088E-02 -0.5252678535E-02
   350 -0.4174724295E+01  0.2785158967E-02 -0.5243842709E-02
   351 -0.4179211503E+01  0.2779751557E-02 -0.5235061516E-02
   352 -0.4183694105E+01  0.2774388415E-02 -0.5226334273E-02
   353 -0.4188172090E+01  0.2769069071E-02 -0.5217660524E-02
   354 -0.4192645419E+01  0.2763793069E-02 -0.5209039665E-02
   355 -0.4197114075E+01  0.2758559969E-02 -0.5200471169E-02
   356 -0.4201578059E+01  0.2753369342E-02 -0.5191954431E-02
   357 -0.4206037324E+01  0.2748220754E-02 -0.5183488963E-02
   358 -0.4210491862E+01  0.2743113773E-02 -0.5175074221E-02
   359 -0.4214941658E+01  0.2738047972E-02 -0.5166709698E-02
   360 -0.4219386679E+01  0.2733022945E-02 -0.5158394787E-02
   361 -0.4223826915E+01  0.2728038259E-02 -0.5150129056E-02
   362 -0.4228262339E+01  0.2723093519E-02 -0.5141911977E-02
   363 -0.4232692981E+01  0.2718188433E-02 -0.5133743148E-02
   364 -0.4237118729E+01  0.2713322339E-02 -0.5125621837E-02
   365 -0.4241539614E+01  0.2708494961E-02 -0.5117547698E-02
   366 -0.4245955590E+01  0.2703705919E-02 -0.5109520206E-02
   367 -0.4250366666E+01  0.2698954809E-02 -0.5101538932E-02
   368 -0.4254772819E+01  0.2694241257E-02 -0.5093603358E-02
   369 -0.4259174029E+01  0.2689564868E-02 -0.5085713032E-02
   370 -0.4263570269E+01  0.2684925267E-02 -0.5077867507E-02
   371 -0.4267961523E+01  0.2680322080E-02 -0.5070066320E-02
   372 -0.4272347781E+01  0.2675754933E-02 -0.5062309014E-02
   373 -0.4276728990E+01  0.2671223464E-02 -0.5054595077E-02
   374 -0.4281105174E+01  0.2666727299E-02 -0.5046924184E-02
   375 -0.4285476289E+01  0.2662266084E-02 -0.5039295844E-02
   376 -0.4289842325E+01  0.2657839464E-02 -0.5031709627E-02
   377 -0.4294203252E+01  0.2653447078E-02 -0.5024165063E-02
   378 -0.4298559055E+01  0.2649088583E-02 -0.5016661793E-02
   379 -0.4302909733E+01  0.2644763625E-02 -0.5009199414E-02
   380 -0.4307255251E+01  0.2640471867E-02 -0.5001777482E-02
   381 -0.4311595601E+01  0.2636212976E-02 -0.4994395567E-02
   382 -0.4315930729E+01  0.2631986606E-02 -0.4987053274E-02
   383 -0.4320260674E+01  0.2627792425E-02 -0.4979750283E-02
   384 -0.4324585375E+01  0.2623630098E-02 -0.4972486128E-02
   385 -0.4328909213E+01  0.2619512018E-02 -0.4965268840E-02
   386 -0.4333223786E+01  0.2615413552E-02 -0.4958081936E-02
   387 -0.4337533117E+01  0.2611346056E-02 -0.4950932817E-02
   388 -0.4341837175E+01  0.2607309217E-02 -0.4943821092E-02
   389 -0.4346135928E+01  0.2603302742E-02 -0.4936746301E-02
   390 -0.4350429387E+01  0.2599326305E-02 -0.4929708210E-02
   391 -0.4354717544E+01  0.2595379607E-02 -0.4922706445E-02
